n_parameters,computation_time,objective_value,test_case,elec-resistance,alpha-c,memb-cond-correction,B_ch,ionomer-cond-corr,i0-c,memb-cond-exp,Sh,E-act-ca,memb-equiv-weight,memb-E-act-cond,gdl-thermal-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,tcr,gdl-abs-perm,memb-thickness,gdl-eff-diff-ratio,pt-loading,ic-ratio,gdl-thickness,ionomer-E-act-cond,memb-water-diff,radius-carbon,wet-transition,ecsa,cl-abs-perm,cl-pore-diameter,cl-theta,n_s,E-act-memb-diff,E-act-memb-abs,ionomer-k2,gdl-theta,ionomer-k1,ionomer-k3
9,72.54741787910461,0.0002925925899461202,2,3.4450683374943116e-06,0.8090178602142201,13.461089715757026,1.3620881914580774,0.6768003353424155,0.0012594527656369365,1.21762362371638,9.999999999999998,61138880.59407818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,61.90046310424805,0.00019637686138884025,3,3.5736042304911803e-06,0.7786450433135825,12.153641095780408,0.9296527279321899,1.4461901091853426,0.0015706770803806161,1.0,1.6554111779355858,60563486.46155232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,65.10992097854614,0.0002723518002564289,4,3.340206590461834e-06,0.7929757763110943,4.045100874131145,1.3470750888932284,0.6899510500471552,0.0015204670893171639,1.0,9.999999999999998,63118395.772328496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,74.66891694068909,0.00031943652171300205,5,3.5267995756868722e-06,0.7937306213517024,12.550036001141153,1.3600212842307593,0.6408518797041919,0.0015720932437152892,1.1870969943635692,9.999999999999998,63616804.69822739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,70.84609794616699,0.00032278267912807726,6,3.5222126192413147e-06,0.7867675436867776,19.746276274675104,1.3602035187471453,0.6075102866620175,0.001726035825663282,1.2843046344528521,9.999999999999998,62853090.226590246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,78.03578186035156,0.00032752702863197975,7,3.512373910516015e-06,0.7975975095410772,20.274430428649477,1.3598198173528049,0.6500060573773068,0.0014702456990312786,1.2949489471037638,9.999999999999998,64227043.7829421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,56.287463903427124,0.00032561909695155277,8,3.616191913478161e-06,0.7850311400920891,27.459012209946167,1.3534694338022417,0.7078142321960601,0.0016916698064877217,1.3414354136714504,9.999999999999998,62166069.1472214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,88.64911484718323,0.000289959924766623,9,3.619579451456516e-06,0.8401408804458055,32.041599925480824,1.7251890933803449,0.37114284653797175,0.001070189680288481,1.4525690057962761,9.999999999999998,63370920.77923136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,147.29028010368347,0.00021597030332934074,1,3.498316142429988e-06,0.8016515264770447,36.51183152831782,1.566400849291126,0.7490417383802046,0.0015554863866058615,2.0,9.999999999999998,65499226.679206565,796.7998576990512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,203.9112572669983,0.00018703397650947682,2,3.447238256594506e-06,0.8214671388086225,35.12178053701432,1.5642070647763562,0.848311887700392,0.0011276514703920445,2.0,9.999999999999998,62008860.60235065,796.4044825720255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
