n_parameters,computation_time,objective_value,test_case,elec-resistance,memb-cond-correction,alpha-c,B_ch,ionomer-cond-corr,i0-c,Sh,E-act-ca,memb-cond-exp,memb-equiv-weight,gdl-thermal-cond,memb-E-act-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,gdl-eff-diff-ratio,memb-thickness,tcr,gdl-thickness,gdl-abs-perm,pt-loading,ionomer-E-act-cond,memb-water-diff,ic-ratio,radius-carbon,ecsa
14,58.627848863601685,9.74334983587421e-05,2,3.1240842381122175e-06,4.623357688033641,0.9512509219760318,1.2503335103912185,2.0180640683725866,0.00046750295242876016,0.619213696793101,77892998.88821405,1.488340044751116,700.0,0.06899925812396655,16996592.444397334,0.9203210787880658,3.551048691737369e-05,,,,,,,,,,,,,
14,39.25904417037964,0.0001103568151092824,3,3.092212403290213e-06,3.0415638959116156,0.9567409952456264,1.1585666568343542,0.5683442073124779,0.0006229052271156026,0.5976994866129051,80000000.0,1.1487939362786606,700.0,0.1425628449753329,8288062.205072633,1.0,1.1635419576659396e-05,,,,,,,,,,,,,
14,62.41262102127075,0.00011586573005395762,4,3.2996315845782524e-06,18.70441607842611,0.9189784261672816,1.2309224709276434,1.3895368223560807,0.0008011290323533183,0.622038957556084,80000000.0,1.8478834038876926,700.0,0.08434454318207057,12640234.796563365,0.9622264841624173,2.2014435765675883e-05,,,,,,,,,,,,,
14,55.88511610031128,0.000130048736784791,5,3.2712012801985044e-06,12.010029778737149,0.8998217483102644,1.1651931776403028,1.7891477182087259,0.0008782503464425787,0.5891306687276178,78812648.99866655,1.6613261247050224,703.0343696542636,0.07511967789888263,12630463.954835098,0.9096220621343798,1.5312658253576082e-05,,,,,,,,,,,,,
14,37.070757150650024,0.00014024146854112792,6,3.3064751689897776e-06,8.21450942223017,0.9126910201458533,1.2486778230668625,1.9829456715569511,0.000695651477881957,0.6116455962219145,80000000.0,1.1489848859012086,872.9279518578879,0.05107685572633054,11793765.352019839,0.8848109619208631,1.0667024219004728e-05,,,,,,,,,,,,,
14,71.14682698249817,0.0001179318275885641,7,3.1048990840784075e-06,9.505581190364138,0.9110957280628611,1.1919115405461669,2.099889997746368,0.000644376721625486,0.5928776953123441,77029158.70601717,1.5448372376645496,700.2579634494302,0.07265735970222817,8876617.15910642,0.8439948237371415,1.9775651765609368e-05,,,,,,,,,,,,,
14,36.47827410697937,0.00012852135798960507,8,3.2468973830460495e-06,6.6499129663479515,0.8449046485794705,0.9186839690512362,4.910349872281735,0.0011894342663920606,0.5097594870759177,71416600.06405461,1.4266403962664342,700.0,0.06285637812154239,13136985.125940073,0.8590256619615066,2.618664197677117e-06,,,,,,,,,,,,,
14,40.847899198532104,0.00010093311420561028,9,3.1991853618141803e-06,8.371902209791443,1.0,1.7657841672387042,0.6371401378940713,0.0002723321303152739,0.5725703613896665,79079661.88721424,1.5174646229409565,789.2848735150245,0.08065243642878052,10178272.404639337,0.7293996680679734,3.559369015904361e-06,,,,,,,,,,,,,
15,49.88044285774231,0.000114764241890381,1,3.2416314974723672e-06,10.653767930851798,0.7565449501811152,1.2402038720997082,2.2692161864863563,0.0036119077144259474,0.6113998234786051,64011052.91058711,1.6885241267896234,704.2849877745216,0.07606737863208808,14842909.472076932,0.6584267831254188,5.998165978935709e-06,2.0,,,,,,,,,,,,
15,35.033331871032715,8.668618418403343e-05,2,3.013684817770091e-06,1.9324273078032963,0.7958992743784157,1.3013489961769695,3.0372439791084296,0.002261773771765121,0.6355330817121033,64451813.82564928,1.3070771092734552,700.0,0.0641733004446939,20375250.405010365,0.6875040822117608,6.500516763480765e-06,2.0,,,,,,,,,,,,
